"filename", "language", "TypeScript", "HTML", "JSON", "vue", "Markdown", "PostCSS", "YAML", "XML", "comment", "blank", "total"
"d:\workspace\economy34-vitesse\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\workspace\economy34-vitesse\.github\ISSUE_TEMPLATE\general.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\workspace\economy34-vitesse\README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 22, 47
"d:\workspace\economy34-vitesse\index.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\workspace\economy34-vitesse\package-lock.json", "JSON", 0, 0, 6298, 0, 0, 0, 0, 0, 0, 1, 6299
"d:\workspace\economy34-vitesse\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"d:\workspace\economy34-vitesse\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3039, 0, 0, 453, 3492
"d:\workspace\economy34-vitesse\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\workspace\economy34-vitesse\src\App.vue", "vue", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\workspace\economy34-vitesse\src\components\CompanionCard.vue", "vue", 0, 0, 0, 191, 0, 0, 0, 0, 0, 23, 214
"d:\workspace\economy34-vitesse\src\components\PerkCard.vue", "vue", 0, 0, 0, 236, 0, 0, 0, 0, 0, 18, 254
"d:\workspace\economy34-vitesse\src\components\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 10
"d:\workspace\economy34-vitesse\src\components\WorldCard.vue", "vue", 0, 0, 0, 104, 0, 0, 0, 0, 0, 10, 114
"d:\workspace\economy34-vitesse\src\components\basic\Button.vue", "vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"d:\workspace\economy34-vitesse\src\components\basic\Checkbox.vue", "vue", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"d:\workspace\economy34-vitesse\src\components\basic\Enum.vue", "vue", 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"d:\workspace\economy34-vitesse\src\components\basic\Foldable.vue", "vue", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"d:\workspace\economy34-vitesse\src\components\basic\Input.vue", "vue", 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
"d:\workspace\economy34-vitesse\src\components\basic\List.vue", "vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"d:\workspace\economy34-vitesse\src\components\basic\Modal.vue", "vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"d:\workspace\economy34-vitesse\src\components\basic\NumberInput.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"d:\workspace\economy34-vitesse\src\components\basic\ProgressBar.vue", "vue", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"d:\workspace\economy34-vitesse\src\components\basic\Select.vue", "vue", 0, 0, 0, 61, 0, 0, 0, 0, 0, 4, 65
"d:\workspace\economy34-vitesse\src\components\basic\SortButton.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workspace\economy34-vitesse\src\components\basic\Table.vue", "vue", 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"d:\workspace\economy34-vitesse\src\components\basic\TextArea.vue", "vue", 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"d:\workspace\economy34-vitesse\src\components\basic\Valid.vue", "vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\workspace\economy34-vitesse\src\components\big\Footer.vue", "vue", 0, 0, 0, 219, 0, 0, 0, 0, 0, 27, 246
"d:\workspace\economy34-vitesse\src\components\big\Header.vue", "vue", 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"d:\workspace\economy34-vitesse\src\components\big\Navigation.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 0, 0, 10, 87
"d:\workspace\economy34-vitesse\src\components\big\SideApps.vue", "vue", 0, 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"d:\workspace\economy34-vitesse\src\components\big\SideMenu.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 0, 0, 6, 85
"d:\workspace\economy34-vitesse\src\components\big\footer\Apps.vue", "vue", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"d:\workspace\economy34-vitesse\src\components\big\footer\Build.vue", "vue", 0, 0, 0, 207, 0, 0, 0, 0, 1, 8, 216
"d:\workspace\economy34-vitesse\src\components\big\footer\Manual.vue", "vue", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"d:\workspace\economy34-vitesse\src\components\big\footer\Spendings.vue", "vue", 0, 0, 0, 63, 0, 0, 0, 0, 0, 4, 67
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\CashRules.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\DiceMachine.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 0, 8, 61
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\ExitStage.vue", "vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\Missions.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomBuild.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomChar.vue", "vue", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomWorld.vue", "vue", 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"d:\workspace\economy34-vitesse\src\components\modals\AddCharacter.vue", "vue", 0, 0, 0, 108, 0, 0, 0, 0, 0, 16, 124
"d:\workspace\economy34-vitesse\src\components\modals\AddRide.vue", "vue", 0, 0, 0, 170, 0, 0, 0, 0, 8, 17, 195
"d:\workspace\economy34-vitesse\src\components\modals\AddWorld.vue", "vue", 0, 0, 0, 140, 0, 0, 0, 0, 0, 12, 152
"d:\workspace\economy34-vitesse\src\components\modals\RitualCircle.vue", "vue", 0, 0, 0, 111, 0, 0, 0, 0, 0, 12, 123
"d:\workspace\economy34-vitesse\src\components\modals\SaveLoad.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 11, 123
"d:\workspace\economy34-vitesse\src\components\modals\Share.vue", "vue", 0, 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"d:\workspace\economy34-vitesse\src\components\modals\ShareLoad.vue", "vue", 0, 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"d:\workspace\economy34-vitesse\src\components\modals\SlightlyUsed.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 8, 107
"d:\workspace\economy34-vitesse\src\components\small\AnythingInput.vue", "vue", 0, 0, 0, 107, 0, 0, 0, 0, 0, 14, 121
"d:\workspace\economy34-vitesse\src\components\small\CharacterInput.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 0, 0, 11, 88
