Date : 2021-11-18 13:52:27
Directory : d:\workspace\economy34-vitesse
Total : 100 files,  169422 codes, 61 comments, 1494 blanks, all 170977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |    156,255 |          5 |          5 |    156,265 |
| vue        |         66 |      5,276 |         16 |        572 |      5,864 |
| TypeScript |         17 |      4,527 |         40 |        383 |      4,950 |
| YAML       |          2 |      3,040 |          0 |        454 |      3,494 |
| PostCSS    |          1 |        233 |          0 |         40 |        273 |
| Markdown   |          4 |         52 |          0 |         39 |         91 |
| HTML       |          1 |         35 |          0 |          1 |         36 |
| XML        |          1 |          4 |          0 |          0 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        100 |    169,422 |         61 |      1,494 |    170,977 |
| .github                                                                       |          2 |         10 |          0 |          5 |         15 |
| .github\ISSUE_TEMPLATE                                                        |          1 |          9 |          0 |          4 |         13 |
| public                                                                        |          1 |          4 |          0 |          0 |          4 |
| src                                                                           |         89 |    159,845 |         48 |        996 |    160,889 |
| src\components                                                                |         46 |      3,177 |          9 |        366 |      3,552 |
| src\components\basic                                                          |         14 |        503 |          0 |         55 |        558 |
| src\components\big                                                            |         16 |      1,026 |          1 |        126 |      1,153 |
| src\components\big\footer                                                     |         11 |        567 |          1 |         68 |        636 |
| src\components\big\footer\apps                                                |          7 |        229 |          0 |         45 |        274 |
| src\components\modals                                                         |          8 |        864 |          8 |         91 |        963 |
| src\components\small                                                          |          4 |        248 |          0 |         38 |        286 |
| src\data                                                                      |         13 |    153,852 |         28 |        295 |    154,175 |
| src\logic                                                                     |          3 |        168 |          1 |         20 |        189 |
| src\pages                                                                     |         21 |      2,106 |          7 |        218 |      2,331 |
| src\pages\binding                                                             |          1 |        298 |          0 |         28 |        326 |
| src\pages\companions                                                          |          1 |        226 |          0 |         23 |        249 |
| src\pages\heritage                                                            |          1 |        152 |          0 |         14 |        166 |
| src\pages\intensity                                                           |          1 |         91 |          0 |          9 |        100 |
| src\pages\origin                                                              |          1 |        106 |          0 |         10 |        116 |
| src\pages\talents                                                             |          6 |        585 |          7 |         67 |        659 |
| src\pages\world                                                               |          1 |        127 |          0 |         15 |        142 |
| src\store                                                                     |          3 |        267 |          0 |         52 |        319 |
| src\styles                                                                    |          1 |        233 |          0 |         40 |        273 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                      | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\workspace\economy34-vitesse\.github\FUNDING.yml                            | YAML       |          1 |          0 |          1 |          2 |
| d:\workspace\economy34-vitesse\.github\ISSUE_TEMPLATE\general.md              | Markdown   |          9 |          0 |          4 |         13 |
| d:\workspace\economy34-vitesse\README.md                                      | Markdown   |         25 |          0 |         22 |         47 |
| d:\workspace\economy34-vitesse\index.html                                     | HTML       |         35 |          0 |          1 |         36 |
| d:\workspace\economy34-vitesse\package-lock.json                              | JSON       |      6,298 |          0 |          1 |      6,299 |
| d:\workspace\economy34-vitesse\package.json                                   | JSON       |         49 |          0 |          1 |         50 |
| d:\workspace\economy34-vitesse\pnpm-lock.yaml                                 | YAML       |      3,039 |          0 |        453 |      3,492 |
| d:\workspace\economy34-vitesse\public\favicon.svg                             | XML        |          4 |          0 |          0 |          4 |
| d:\workspace\economy34-vitesse\src\App.vue                                    | vue        |         11 |          0 |          1 |         12 |
| d:\workspace\economy34-vitesse\src\components\CompanionCard.vue               | vue        |        191 |          0 |         23 |        214 |
| d:\workspace\economy34-vitesse\src\components\PerkCard.vue                    | vue        |        236 |          0 |         18 |        254 |
| d:\workspace\economy34-vitesse\src\components\README.md                       | Markdown   |          5 |          0 |          5 |         10 |
| d:\workspace\economy34-vitesse\src\components\WorldCard.vue                   | vue        |        104 |          0 |         10 |        114 |
| d:\workspace\economy34-vitesse\src\components\basic\Button.vue                | vue        |         35 |          0 |          5 |         40 |
| d:\workspace\economy34-vitesse\src\components\basic\Checkbox.vue              | vue        |         29 |          0 |          3 |         32 |
| d:\workspace\economy34-vitesse\src\components\basic\Enum.vue                  | vue        |         49 |          0 |          3 |         52 |
| d:\workspace\economy34-vitesse\src\components\basic\Foldable.vue              | vue        |         44 |          0 |          7 |         51 |
| d:\workspace\economy34-vitesse\src\components\basic\Input.vue                 | vue        |         48 |          0 |          3 |         51 |
| d:\workspace\economy34-vitesse\src\components\basic\List.vue                  | vue        |         35 |          0 |          4 |         39 |
| d:\workspace\economy34-vitesse\src\components\basic\Modal.vue                 | vue        |         35 |          0 |          3 |         38 |
| d:\workspace\economy34-vitesse\src\components\basic\NumberInput.vue           | vue        |         51 |          0 |          8 |         59 |
