"filename", "language", "TypeScript", "JSON", "Markdown", "YAML", "PostCSS", "XML", "vue", "HTML", "comment", "blank", "total"
"d:\workspace\economy34-vitesse\.github\FUNDING.yml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\workspace\economy34-vitesse\.github\ISSUE_TEMPLATE\general.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\workspace\economy34-vitesse\README.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 22, 47
"d:\workspace\economy34-vitesse\global.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\workspace\economy34-vitesse\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 36
"d:\workspace\economy34-vitesse\package-lock.json", "JSON", 0, 6298, 0, 0, 0, 0, 0, 0, 0, 1, 6299
"d:\workspace\economy34-vitesse\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\workspace\economy34-vitesse\pnpm-lock.yaml", "YAML", 0, 0, 0, 3039, 0, 0, 0, 0, 0, 453, 3492
"d:\workspace\economy34-vitesse\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\workspace\economy34-vitesse\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"d:\workspace\economy34-vitesse\src\components\ChallengeCard.vue", "vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\workspace\economy34-vitesse\src\components\CompanionCard.vue", "vue", 0, 0, 0, 0, 0, 0, 265, 0, 0, 25, 290
"d:\workspace\economy34-vitesse\src\components\CompanionCardMini.vue", "vue", 0, 0, 0, 0, 0, 0, 109, 0, 0, 7, 116
"d:\workspace\economy34-vitesse\src\components\PerkCard.vue", "vue", 0, 0, 0, 0, 0, 0, 233, 0, 0, 17, 250
"d:\workspace\economy34-vitesse\src\components\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 10
"d:\workspace\economy34-vitesse\src\components\WorldCard.vue", "vue", 0, 0, 0, 0, 0, 0, 114, 0, 0, 12, 126
"d:\workspace\economy34-vitesse\src\components\YourCardMini.vue", "vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 10, 73
"d:\workspace\economy34-vitesse\src\components\basic\Button.vue", "vue", 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"d:\workspace\economy34-vitesse\src\components\basic\Checkbox.vue", "vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\workspace\economy34-vitesse\src\components\basic\Enum.vue", "vue", 0, 0, 0, 0, 0, 0, 76, 0, 0, 6, 82
"d:\workspace\economy34-vitesse\src\components\basic\Foldable.vue", "vue", 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"d:\workspace\economy34-vitesse\src\components\basic\Input.vue", "vue", 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 52
"d:\workspace\economy34-vitesse\src\components\basic\List.vue", "vue", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"d:\workspace\economy34-vitesse\src\components\basic\Modal.vue", "vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"d:\workspace\economy34-vitesse\src\components\basic\NumberInput.vue", "vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 15, 118
"d:\workspace\economy34-vitesse\src\components\basic\ProgressBar.vue", "vue", 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\workspace\economy34-vitesse\src\components\basic\Select.vue", "vue", 0, 0, 0, 0, 0, 0, 61, 0, 0, 4, 65
"d:\workspace\economy34-vitesse\src\components\basic\SortButton.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workspace\economy34-vitesse\src\components\basic\Table.vue", "vue", 0, 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"d:\workspace\economy34-vitesse\src\components\basic\TagInput.vue", "vue", 0, 0, 0, 0, 0, 0, 111, 0, 0, 12, 123
"d:\workspace\economy34-vitesse\src\components\basic\TextArea.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"d:\workspace\economy34-vitesse\src\components\basic\Toggle.vue", "vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"d:\workspace\economy34-vitesse\src\components\basic\Valid.vue", "vue", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\workspace\economy34-vitesse\src\components\basic\Variants.vue", "vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 10, 82
"d:\workspace\economy34-vitesse\src\components\big\Footer.vue", "vue", 0, 0, 0, 0, 0, 0, 195, 0, 0, 27, 222
"d:\workspace\economy34-vitesse\src\components\big\Header.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"d:\workspace\economy34-vitesse\src\components\big\Navigation.vue", "vue", 0, 0, 0, 0, 0, 0, 67, 0, 0, 8, 75
"d:\workspace\economy34-vitesse\src\components\big\SideApps.vue", "vue", 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"d:\workspace\economy34-vitesse\src\components\big\SideMenu.vue", "vue", 0, 0, 0, 0, 0, 0, 124, 0, 0, 6, 130
"d:\workspace\economy34-vitesse\src\components\big\footer\Apps.vue", "vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 10, 72
"d:\workspace\economy34-vitesse\src\components\big\footer\Build.vue", "vue", 0, 0, 0, 0, 0, 0, 272, 0, 1, 10, 283
"d:\workspace\economy34-vitesse\src\components\big\footer\Companions.vue", "vue", 0, 0, 0, 0, 0, 0, 100, 0, 0, 15, 115
"d:\workspace\economy34-vitesse\src\components\big\footer\Manual.vue", "vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\workspace\economy34-vitesse\src\components\big\footer\Spendings.vue", "vue", 0, 0, 0, 0, 0, 0, 84, 0, 0, 5, 89
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\BulkCapture.vue", "vue", 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 48
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\CashRules.vue", "vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 7, 63
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\DiceMachine.vue", "vue", 0, 0, 0, 0, 0, 0, 53, 0, 0, 8, 61
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\DragonAura.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\ExitStage.vue", "vue", 0, 0, 0, 0, 0, 0, 146, 0, 0, 15, 161
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\Missions.vue", "vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 8, 66
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\Notes.vue", "vue", 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\PocketSpace.vue", "vue", 0, 0, 0, 0, 0, 0, 54, 0, 0, 17, 71
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomBuild.vue", "vue", 0, 0, 0, 0, 0, 0, 195, 0, 0, 34, 229
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomChar.vue", "vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\RitualCircleApp.vue", "vue", 0, 0, 0, 0, 0, 0, 138, 0, 0, 10, 148
"d:\workspace\economy34-vitesse\src\components\big\footer\apps\UserBuilds.vue", "vue", 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"d:\workspace\economy34-vitesse\src\components\modals\AddCharacter.vue", "vue", 0, 0, 0, 0, 0, 0, 179, 0, 0, 19, 198
"d:\workspace\economy34-vitesse\src\components\modals\AddMission.vue", "vue", 0, 0, 0, 0, 0, 0, 138, 0, 0, 10, 148
"d:\workspace\economy34-vitesse\src\components\modals\AddPerk.vue", "vue", 0, 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"d:\workspace\economy34-vitesse\src\components\modals\AddRide.vue", "vue", 0, 0, 0, 0, 0, 0, 170, 0, 8, 17, 195
"d:\workspace\economy34-vitesse\src\components\modals\AddWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 121, 0, 0, 12, 133
"d:\workspace\economy34-vitesse\src\components\modals\RitualCircle.vue", "vue", 0, 0, 0, 0, 0, 0, 111, 0, 0, 12, 123
"d:\workspace\economy34-vitesse\src\components\modals\SaveLoad.vue", "vue", 0, 0, 0, 0, 0, 0, 97, 0, 0, 13, 110
"d:\workspace\economy34-vitesse\src\components\modals\Share.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"d:\workspace\economy34-vitesse\src\components\modals\ShareLoad.vue", "vue", 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"d:\workspace\economy34-vitesse\src\components\modals\ShroudElements.vue", "vue", 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"d:\workspace\economy34-vitesse\src\components\modals\SlightlyUsed.vue", "vue", 0, 0, 0, 0, 0, 0, 99, 0, 0, 8, 107
"d:\workspace\economy34-vitesse\src\components\modals\Tags.vue", "vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"d:\workspace\economy34-vitesse\src\components\modals\dialogs\ConfirmDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\workspace\economy34-vitesse\src\components\modals\dialogs\InfoDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\workspace\economy34-vitesse\src\components\modals\dialogs\PromoteDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"d:\workspace\economy34-vitesse\src\components\small\AnythingInput.vue", "vue", 0, 0, 0, 0, 0, 0, 105, 0, 0, 13, 118
"d:\workspace\economy34-vitesse\src\components\small\CharacterInput.vue", "vue", 0, 0, 0, 0, 0, 0, 78, 0, 0, 11, 89
"d:\workspace\economy34-vitesse\src\components\small\Desc.vue", "vue", 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 35
"d:\workspace\economy34-vitesse\src\components\small\EditableProgressbar.vue", "vue", 0, 0, 0, 0, 0, 0, 50, 0, 0, 8, 58
"d:\workspace\economy34-vitesse\src\components\small\InputWithSearch.vue", "vue", 0, 0, 0, 0, 0, 0, 75, 0, 0, 9, 84
"d:\workspace\economy34-vitesse\src\components\small\MiniWorldCard.vue", "vue", 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"d:\workspace\economy34-vitesse\src\components\small\ModeButton.vue", "vue", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
