Date : 2022-01-08 22:31:00
Directory : d:\workspace\economy34-vitesse
Total : 133 files,  342693 codes, 77 comments, 1882 blanks, all 344652 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |    325,709 |          5 |          4 |    325,718 |
| vue        |         91 |      7,494 |          9 |        812 |      8,315 |
| TypeScript |         25 |      6,301 |         62 |        559 |      6,922 |
| YAML       |          2 |      3,040 |          0 |        454 |      3,494 |
| PostCSS    |          1 |         58 |          1 |         13 |         72 |
| Markdown   |          4 |         52 |          0 |         39 |         91 |
| HTML       |          1 |         35 |          0 |          1 |         36 |
| XML        |          1 |          4 |          0 |          0 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        133 |    342,693 |         77 |      1,882 |    344,652 |
| .github                                                                           |          2 |         10 |          0 |          5 |         15 |
| .github\ISSUE_TEMPLATE                                                            |          1 |          9 |          0 |          4 |         13 |
| public                                                                            |          1 |          4 |          0 |          0 |          4 |
| src                                                                               |        121 |    333,099 |         64 |      1,382 |    334,545 |
| src\components                                                                    |         69 |      5,203 |          9 |        604 |      5,816 |
| src\components\basic                                                              |         17 |        783 |          0 |         92 |        875 |
| src\components\big                                                                |         23 |      1,932 |          1 |        231 |      2,164 |
| src\components\big\footer                                                         |         18 |      1,459 |          1 |        176 |      1,636 |
| src\components\big\footer\apps                                                    |         13 |        917 |          0 |        132 |      1,049 |
| src\components\modals                                                             |         15 |      1,249 |          8 |        141 |      1,398 |
| src\components\modals\dialogs                                                     |          3 |         88 |          0 |         14 |        102 |
| src\components\small                                                              |          7 |        388 |          0 |         57 |        445 |
| src\data                                                                          |         16 |    324,338 |         37 |        384 |    324,759 |
| src\logic                                                                         |          5 |        655 |         14 |         74 |        743 |
| src\pages                                                                         |         23 |      2,279 |          0 |        215 |      2,494 |
| src\pages\binding                                                                 |          1 |        212 |          0 |         24 |        236 |
| src\pages\companions                                                              |          1 |        294 |          0 |         31 |        325 |
| src\pages\heritage                                                                |          1 |        132 |          0 |         16 |        148 |
| src\pages\intensity                                                               |          1 |         73 |          0 |          8 |         81 |
| src\pages\origin                                                                  |          1 |        114 |          0 |         11 |        125 |
| src\pages\talents                                                                 |          6 |        433 |          0 |         50 |        483 |
| src\pages\world                                                                   |          1 |        127 |          0 |         15 |        142 |
| src\store                                                                         |          5 |        505 |          0 |         82 |        587 |
| src\styles                                                                        |          1 |         58 |          1 |         13 |         72 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\workspace\economy34-vitesse\.github\FUNDING.yml                                | YAML       |          1 |          0 |          1 |          2 |
| d:\workspace\economy34-vitesse\.github\ISSUE_TEMPLATE\general.md                  | Markdown   |          9 |          0 |          4 |         13 |
| d:\workspace\economy34-vitesse\README.md                                          | Markdown   |         25 |          0 |         22 |         47 |
| d:\workspace\economy34-vitesse\global.d.ts                                        | TypeScript |         17 |          0 |          2 |         19 |
| d:\workspace\economy34-vitesse\index.html                                         | HTML       |         35 |          0 |          1 |         36 |
| d:\workspace\economy34-vitesse\package-lock.json                                  | JSON       |      6,298 |          0 |          1 |      6,299 |
| d:\workspace\economy34-vitesse\package.json                                       | JSON       |         49 |          0 |          1 |         50 |
| d:\workspace\economy34-vitesse\pnpm-lock.yaml                                     | YAML       |      3,039 |          0 |        453 |      3,492 |
| d:\workspace\economy34-vitesse\public\favicon.svg                                 | XML        |          4 |          0 |          0 |          4 |
| d:\workspace\economy34-vitesse\src\App.vue                                        | vue        |         30 |          0 |          6 |         36 |
| d:\workspace\economy34-vitesse\src\components\ChallengeCard.vue                   | vue        |         62 |          0 |          7 |         69 |
| d:\workspace\economy34-vitesse\src\components\CompanionCard.vue                   | vue        |        265 |          0 |         25 |        290 |
| d:\workspace\economy34-vitesse\src\components\CompanionCardMini.vue               | vue        |        109 |          0 |          7 |        116 |
| d:\workspace\economy34-vitesse\src\components\PerkCard.vue                        | vue        |        233 |          0 |         17 |        250 |
| d:\workspace\economy34-vitesse\src\components\README.md                           | Markdown   |          5 |          0 |          5 |         10 |
| d:\workspace\economy34-vitesse\src\components\WorldCard.vue                       | vue        |        114 |          0 |         12 |        126 |
| d:\workspace\economy34-vitesse\src\components\YourCardMini.vue                    | vue        |         63 |          0 |         10 |         73 |
| d:\workspace\economy34-vitesse\src\components\basic\Button.vue                    | vue        |         40 |          0 |          5 |         45 |
| d:\workspace\economy34-vitesse\src\components\basic\Checkbox.vue                  | vue        |         25 |          0 |          3 |         28 |
| d:\workspace\economy34-vitesse\src\components\basic\Enum.vue                      | vue        |         76 |          0 |          6 |         82 |
| d:\workspace\economy34-vitesse\src\components\basic\Foldable.vue                  | vue        |         34 |          0 |          6 |         40 |
| d:\workspace\economy34-vitesse\src\components\basic\Input.vue                     | vue        |         49 |          0 |          3 |         52 |
| d:\workspace\economy34-vitesse\src\components\basic\List.vue                      | vue        |         35 |          0 |          4 |         39 |
| d:\workspace\economy34-vitesse\src\components\basic\Modal.vue                     | vue        |         32 |          0 |          3 |         35 |
| d:\workspace\economy34-vitesse\src\components\basic\NumberInput.vue               | vue        |        103 |          0 |         15 |        118 |
| d:\workspace\economy34-vitesse\src\components\basic\ProgressBar.vue               | vue        |         22 |          0 |          5 |         27 |
| d:\workspace\economy34-vitesse\src\components\basic\Select.vue                    | vue        |         61 |          0 |          4 |         65 |
